B1,B2,B3
1,1,mahiSa
2,1,madIya
3,1,udamegha
4,1,trinAli
5,1,svastivAcanakamantra
6,1,cakSuHpIDA
7,1,pratyRta
8,1,zokacchid
9,1,vidUrIbhU
10,1,jAnavAdika
11,1,kaiMnara
12,1,hAsyapadavIbhAva
13,1,anuvac
14,1,citrAGgadasU
15,1,atyugra
16,2,apakSa
17,2,indrarAja
18,2,kAmAkhya
19,2,bhAvAtmakatA
20,2,dhUmrapattrA
21,2,vRttaparNI
22,2,mananIya
23,2,saMzleSaNa
24,2,pracura
25,2,vahnipuSpI
26,2,parokSeNa
27,2,zabdAnukaraNa
28,2,puruSajana
29,2,asRgvahA
30,2,samAhve
31,2,atyeS
32,2,viSamavibhAga
33,2,rAjanyarSi
34,2,niji
35,2,upotsad
36,2,sazaGka
37,2,zaktyardha
38,2,jambhA
39,2,pAlavI
40,2,pratam
41,2,vRkSadhUpaka
42,2,pattrarathendraketu
43,2,yaudha
44,2,abhibhu
45,2,kanyA
46,2,sragviNI
47,2,pazcimatas
48,2,vIryavAhin
49,2,atitRNNa
50,2,utplava
51,2,anA
52,2,nirmanaska
53,2,sotpIDa
54,2,bhidura
55,2,varcaTI
56,2,jajJi
57,2,vAgbhaTakoza
58,2,droNAhAva
59,2,pratyagrazodhita
60,2,prAtaHkSaNa
61,2,jalarUpa
62,2,pitRkilbiSa
63,2,vyutpattirahasya
64,2,parivedin
65,2,upavezana
66,3,sUnmada
67,3,udRc
68,3,sarvAtithya
69,3,udakpatha
70,3,navamallikA
71,3,siprAya
72,4,upAmantrya
73,4,durmadin
74,4,acchidra
75,4,saMduS
76,4,vighasAza
77,4,pATali
78,4,tvatka
79,4,AnandabASpa
80,4,haThadIpa
81,4,mAtuluGgA
82,4,karkaTa
83,4,pANDugAtratA
84,4,madhyamasthA
85,4,upamA
86,4,prapurANa
87,4,vAsapuSpA
88,4,mlech
89,4,raktamaNDalA
90,4,uktabhAva
91,4,dvArakArambha
92,4,upacAyyaka
93,4,jijJu
94,4,ravisUnu
95,4,pataga
96,4,roTakavrata
97,4,zlok
98,4,mahAkapilapaJcarAtra
99,4,vAdyamAna
100,4,ajJAnin
101,4,reNuguNThita
102,4,Urudaghna
103,4,jAyampatI
104,4,kIlikA
105,4,zUkazimbI
106,4,paTTasUtra
107,4,dvizruti
108,4,jamadagnidatta
109,4,satvAsiJcAmiprayoga
110,4,anusaMkal
111,4,vyAsiddha
112,4,mokSaNIya
113,4,khAni
114,4,bahukRta
115,4,kAlakUTapati
116,4,pratyabhimarza
117,5,paryudayam
118,5,bindusena
119,5,svavinAza
120,5,samabhiruh
121,5,kiMkaratva
122,5,varuNatva
123,5,jvalitanayana
124,5,zatopaniSad
125,5,bhaktimat
126,5,zUdrabhikSita
127,5,zrutimitaprakAzikA
128,5,rUSaNa
129,5,tUSa
130,5,paramArthavid
131,5,manApa
132,6,saMsU
133,6,ahilatA
134,6,antAvasAyin
135,6,avarundham
136,6,praphulta
137,6,sauSirya
138,6,tagarapAdi
139,6,phet
140,6,dhanakeli
141,6,tittira
142,6,rabhasvat
143,6,anusaMkal
144,6,ratavizeSa
145,6,avakriyA
146,6,vastrayugin
147,6,kSemadhRtvan
148,6,bodhitaru
149,6,rudravat
150,6,yAjyA
151,6,avagam
152,6,jagaccandrikA
153,6,nirmAnuSIkR
154,6,vipraduh
155,6,mAtRmukha
156,6,dazazatI
157,6,cAturmahArAjakAyika
158,6,ghoSTR
159,6,zamasetupradIpa
160,6,kaGku
161,6,arkakozI
162,6,pRSThazRGgin
163,6,svAGga
164,6,uttIrNa
165,6,jagaddhAtR
166,6,labdhajanman
167,6,kiMnu
168,6,vIrabhadravijaya
169,7,upavastra
170,7,nAlikA
171,7,nipUrta
172,7,kharaprANa
173,7,zaizireya
174,7,nAmagrAha
175,7,dakSiNAzArati
176,7,kezakAra
177,7,abhipravrajana
178,8,codas
179,8,akhilena
180,8,bhUtArtha
181,8,nAradopadeza
182,8,zivAstuti
183,8,akalaGka
184,8,kSaitrajJa
185,8,lAGgaleSA
186,8,kSAranadI
187,8,cirakAri
188,8,dIrghAdhva
189,8,svarNapuSpa
190,8,vilAsasadman
191,8,mahAkanya
192,8,bimbapratibimbavAda
193,8,modADhyA
194,8,anUrdhvaMbhAvuka
195,9,mArutA
196,9,vikramapati
197,9,tatsina
198,9,viSNvanusthita
199,9,gotva
200,9,madhusakha
201,9,avAc
202,9,karutthAma
203,9,zivadayAlu
204,9,vaTku
205,9,sAraGga
206,9,pramANaya
207,9,priyadhA
208,9,zaGka
209,9,ucchrAya
210,9,candracUDa
211,9,pratyudAhR
